                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
    mpki                             |       5.82 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        952 |          0 |          0 |          0 |        975 |          0 |          0 |          0 |        947 |          0 |          0 |          0 |        940 |          0 |          0 |          0 |        948 |          0 |          0 |          0 |        969 |          0 |          0 |          0 |        978 |          0 |          0 |          0 |        970 |          0 |          0 |          0 |        977 |          0 |          0 |          0 |        963 |          0 |          0 |          0 |        946 |          0 |          0 |          0 |        970 |          0 |          0 |          0 |        982 |          0 |          0 |          0 |        962 |          0 |          0 |          0 |        976 |          0 |          0 |          0 |        978 |          0 |          0 |          0
  average dram access latency (ns)   |      57.37 |        inf |        inf |        inf |      57.35 |        inf |        inf |        inf |      59.53 |        inf |        inf |        inf |      57.94 |        inf |        inf |        inf |      58.00 |        inf |        inf |        inf |      57.60 |        inf |        inf |        inf |      57.47 |        inf |        inf |        inf |      56.62 |        inf |        inf |        inf |      57.66 |        inf |        inf |        inf |      58.31 |        inf |        inf |        inf |      57.55 |        inf |        inf |        inf |      57.18 |        inf |        inf |        inf |      58.26 |        inf |        inf |        inf |      57.50 |        inf |        inf |        inf |      57.81 |        inf |        inf |        inf |      58.48 |        inf |        inf |        inf
  average dram queueing delay        |       3.94 |       0.00 |       0.00 |       0.00 |       3.92 |       0.00 |       0.00 |       0.00 |       6.10 |       0.00 |       0.00 |       0.00 |       4.51 |       0.00 |       0.00 |       0.00 |       4.57 |       0.00 |       0.00 |       0.00 |       4.17 |       0.00 |       0.00 |       0.00 |       4.05 |       0.00 |       0.00 |       0.00 |       3.19 |       0.00 |       0.00 |       0.00 |       4.23 |       0.00 |       0.00 |       0.00 |       4.88 |       0.00 |       0.00 |       0.00 |       4.12 |       0.00 |       0.00 |       0.00 |       3.75 |       0.00 |       0.00 |       0.00 |       4.83 |       0.00 |       0.00 |       0.00 |       4.07 |       0.00 |       0.00 |       0.00 |       4.38 |       0.00 |       0.00 |       0.00 |       5.05 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       4924 |        312 |        330 |        246 |        235 |        238 |        243 |        237 |        591 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |         13 |        126 |        121 |        112 |        182 |        266 |        304 |        270 |         36 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
